Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,5164000.0
Depreciación y amortización ,3035000.0
Impuestos sobre la renta diferidos,1659000.0
Cambio en el capital circulante,3488000.0
Cuentas por cobrar,2202000.0
Cuentas a pagar,5511000.0
Otro capital circulante,10240000.0
Otros artículos no monetarios,0.0
Efectivo neto proporcionado por actividades en curso,11813000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",1573000.0
Adquisiciones netas,447000.0
Compras de inversiones,5539000.0
Ventas/vencimientos de inversiones,2636000.0
Otras actividades de inversión,332000.0
Efectivo neto usado para actividades de inversión,5174000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,2967000.0
Acción ordinaria emitida,187000.0
Acción ordinaria readquirida,2284000.0
Dividendos pagados,1450000.0
Otras actividades de financiación,469000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,4294000.0
Cambio neto en efectivo,2361000.0
Efectivo al inicio del periodo,5976000.0
Efectivo al final del periodo,8337000.0
Flujo de caja libre,0.0
Flujo de caja operativo,11813000.0
Inversiones en bienes de capital,1573000.0
Flujo de caja libre,10240000.0
